央视频道,#genre#
CCTV1-综合,http://119.129.172.164:9999/tsfile/live/0001_1.m3u8
CCTV2-财经,http://119.129.172.164:9999/tsfile/live/0002_1.m3u8
CCTV3-综艺,http://119.129.172.164:9999/tsfile/live/0003_1.m3u8
CCTV4-国际,http://119.129.172.164:9999/tsfile/live/0004_1.m3u8
CCTV5-体育,http://119.129.172.164:9999/tsfile/live/0005_1.m3u8
CCTV6-电影,http://119.129.172.164:9999/tsfile/live/0006_1.m3u8
CCTV8-电视剧,http://119.129.172.164:9999/tsfile/live/0008_1.m3u8
CCTV9-纪录,http://119.129.172.164:9999/tsfile/live/0009_1.m3u8
CCTV10-科教,http://119.129.172.164:9999/tsfile/live/0010_1.m3u8
CCTV11-戏曲,http://119.129.172.164:9999/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://119.129.172.164:9999/tsfile/live/0012_1.m3u8
CCTV13-新闻,http://119.129.172.164:9999/tsfile/live/0013_1.m3u8
CCTV14-少儿,http://119.129.172.164:9999/tsfile/live/0014_1.m3u8
CCTV15-音乐,http://119.129.172.164:9999/tsfile/live/0015_1.m3u8
CCTV4k超高清,http://n.lualu.io:18888/udp/239.45.0.55:5140
CCTV电视指南,http://n.lualu.io:18888/udp/239.45.1.73:5140
CCTV风云足球,http://n.lualu.io:18888/udp/239.45.0.43:5140
CCTV风云足球,http://n.lualu.io:18888/udp/239.45.1.75:5140
CCTV央视台球,http://n.lualu.io:18888/udp/239.45.0.44:5140
CCTV兵器科技,http://n.lualu.io:18888/udp/239.45.0.45:5140
CCTV兵器科技,http://n.lualu.io:18888/udp/239.45.1.74:5140
CCTV世界地理,http://n.lualu.io:18888/udp/239.45.0.46:5140
CCTV女性时尚,http://n.lualu.io:18888/udp/239.45.0.47:5140
CCTV高网,http://n.lualu.io:18888/udp/239.45.0.48:5140
CCTV高网,http://n.lualu.io:18888/udp/239.45.1.72:5140
CCTV怀旧剧场,http://n.lualu.io:18888/udp/239.45.0.49:5140
